(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(274, 0.9856115107913669)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(274, 0.9856115107913669)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(272, 0.9784172661870504)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(273, 0.9820143884892086)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(274, 0.9856115107913669)
(275, 0.9892086330935251)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(273, 0.9820143884892086)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(274, 0.9856115107913669)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(274, 0.9856115107913669)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(274, 0.9856115107913669)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(274, 0.9856115107913669)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(275, 0.9892086330935251)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(274, 0.9856115107913669)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(274, 0.9856115107913669)
(278, 1.0)
(274, 0.9856115107913669)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(273, 0.9820143884892086)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(274, 0.9856115107913669)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(274, 0.9856115107913669)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(276, 0.9928057553956835)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(275, 0.9892086330935251)
(274, 0.9856115107913669)
(275, 0.9892086330935251)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(275, 0.9892086330935251)
(274, 0.9856115107913669)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(276, 0.9928057553956835)
(276, 0.9928057553956835)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(278, 1.0)
(277, 0.9964028776978417)
(278, 1.0)
(278, 1.0)
(275, 0.9892086330935251)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
(277, 0.9964028776978417)
